X1,X2,X3,Y
1,C,-0.366204011075224,0.209659607382491,0
2,C,-0.29400111344167,0.715586190344766,0
3,C,-0.0231226329453793,0.536380053497851,0
4,B,0.36239938438596,0.0491394286509603,1
5,C,-0.466714382745476,0.822714880341664,0
6,B,0.298513610239571,0.252496465342119,1
7,B,-0.952708146838338,0.521448933985084,1
8,B,0.667540578652392,0.32699210033752,1
9,C,0.0872385392772317,0.110368841327727,1
10,A,-0.10920944755833,0.851732170907781,1
11,B,-0.677492197198552,0.624640036839992,1
12,B,1.69882265641786,0.848066023783758,1
13,A,0.385831002195382,0.126011811429635,1
14,B,0.246757028793369,0.668251612689346,1
15,C,-2.58693175649532,0.607933030463755,0
16,A,-1.96310302028844,0.945666357409209,0
17,C,-0.0613048282986551,0.580624428810552,0
18,C,0.895252537563649,0.303132853005081,0
19,A,-0.0280587714811767,0.934779137372971,0
20,A,-0.999747016649922,0.844359362265095,0
21,A,-0.159603960602608,0.424573354888707,1
22,A,-0.527693647947928,0.485665085259825,0
23,C,0.216156456138173,0.768520151963457,0
24,B,-0.918954980498973,0.252276818268001,1
25,C,-0.900594654729823,0.812039961572737,0
26,B,0.288608790888135,0.82209540810436,1
27,A,0.92888479404592,0.41733704158105,1
28,B,1.67304721204006,0.916375945322216,1
29,C,0.28551442388003,0.0708756730891764,0
30,B,-0.372582440941034,0.810096084838733,1
31,A,-1.43388275604164,0.485904471250251,1
32,C,-0.884467920103741,0.305234725121409,0
33,C,1.124182940998,0.617873833281919,1
34,A,-0.722805796619515,0.319253370864317,1
35,C,0.462664957092451,0.652336813742295,0
36,B,-0.312553529534517,0.915848306380212,1
37,A,0.848254497119693,0.56907903123647,1
38,C,-0.0853195765164032,0.637890705838799,0
39,A,-0.715345095270985,0.416069980710745,0
40,A,-0.736696067660977,0.796610151184723,0
41,B,-0.00722263899138558,0.862276194151491,1
42,C,0.700477870458302,0.367417122004554,0
43,C,1.6263923450496,0.48793856962584,0
44,A,1.6246608967727,0.896351872012019,1
45,C,1.41868529864272,0.46382284979336,1
46,A,-0.990493419482511,0.209327999036759,0
47,C,0.613368245203462,0.676256295992061,1
48,B,-0.488826230948558,0.734129814198241,1
49,A,-0.422587281345014,0.652694162447006,1
50,B,0.203245676244333,0.206914217676967,1
51,A,1.49522999071037,0.960771540412679,1
52,A,-1.28528515281163,0.00689716497436166,1
53,C,2.1465104130902,0.902166552376002,1
54,A,-0.162645540966887,0.0896428602281958,1
55,B,-0.523382144041868,0.83709477703087,1
56,A,0.843446866104346,0.554206041619182,1
57,A,-0.301308334130191,0.603416930185631,0
58,C,1.08784150806942,0.811360992956907,1
59,A,0.0409348202966876,0.262974624987692,1
60,B,0.286535251716294,0.0399469463154674,1
61,A,-0.00411340669249303,0.138287362642586,1
62,C,0.686813203751929,0.105389832984656,0
63,A,-0.144679579615896,0.175405820598826,1
64,C,-0.612077934612757,0.961179955163971,0
65,B,0.630565378202015,0.194028641562909,1
66,C,-1.19270257295919,0.332180767785758,0
67,B,0.834967448322432,0.6923006484285,1
68,B,0.597328115305281,0.693466415861621,1
69,C,-1.18081269083254,0.286106588318944,0
70,B,0.667471782286482,0.299119253410026,1
71,B,-0.878199539104302,0.429953913902864,0
72,C,1.09747131611723,0.382629160769284,1
73,C,-1.09103843590312,0.906816516304389,0
74,A,-0.0929755311982482,0.534761298215017,1
